ano,sigla_uf,id_municipio,ranking,nota
2020,ES,3205002,1,9.95
2020,PR,4113700,1,9.95
2020,PA,1505304,3,9.92
2020,PE,2611606,4,9.9
2020,ES,3205309,5,9.85
2020,ES,3205200,5,9.85
2020,BA,2933307,7,9.8
2020,PR,4126256,8,9.78
2020,PA,1503903,9,9.71
2020,MG,3137205,10,9.69
2020,PR,4106902,11,9.67
2020,ES,3205101,12,9.65
2020,MS,5002704,13,9.64
2020,ES,3200607,13,9.64
2020,DF,5300108,15,9.62
2020,RO,1100049,15,9.62
2020,MG,3137601,15,9.62
2020,ES,3201506,15,9.62
2020,CE,2314102,19,9.6
2020,RO,1100122,20,9.59
2020,RO,1100205,20,9.59
2020,GO,5201405,20,9.59
2020,SC,4204202,23,9.56
2020,PA,1503804,24,9.55
2020,MG,3147907,25,9.54
2020,AL,2704302,26,9.52
2020,SP,3527207,27,9.51
2020,MT,5107909,28,9.5
2020,MG,3171303,29,9.47
2020,SP,3526902,30,9.46
2020,MS,5003207,31,9.44
2020,MG,3105608,31,9.44
2020,MS,5006200,31,9.44
2020,SC,4202404,34,9.38
2020,SC,4215802,35,9.37
2020,AL,2702405,36,9.35
2020,BA,2914802,37,9.33
2020,SP,3548500,37,9.33
2020,RJ,3306107,39,9.32
2020,MT,5108402,40,9.3
2020,AL,2704708,41,9.29
2020,GO,5205497,41,9.29
2020,MG,3169901,41,9.29
2020,RS,4316907,44,9.27
2020,MG,3169406,45,9.26
2020,SC,4205902,45,9.26
2020,SP,3554102,47,9.25
2020,RJ,3303302,47,9.25
2020,CE,2308708,47,9.25
2020,MG,3131703,50,9.24
2020,MG,3138203,50,9.24
2020,ES,3201209,52,9.23
2020,CE,2311801,53,9.2
2020,CE,2311405,53,9.2
2020,ES,3201308,55,9.17
2020,MG,3106200,56,9.16
2020,MG,3170701,57,9.15
2020,SP,3509007,57,9.15
2020,RJ,3302858,57,9.15
2020,MS,5003702,57,9.15
2020,MG,3143906,57,9.15
2020,SC,4209300,62,9.14
2020,BA,2919207,63,9.12
2020,MT,5103403,64,9.1
2020,PR,4115200,65,9.09
2020,PA,1503309,66,9.07
2020,PA,1503606,66,9.07
2020,PB,2506301,68,9.06
2020,AL,2702306,69,9.04
2020,SP,3509502,69,9.04
2020,SP,3537305,69,9.04
2020,SP,3525904,72,9.02
2020,SP,3504503,72,9.02
2020,SP,3556701,74,9.01
2020,MA,2112209,75,9
2020,BA,2925303,75,9
2020,BA,2911709,77,8.94
2020,MG,3118601,77,8.94
2020,SC,4219309,79,8.92
2020,BA,2924009,80,8.91
2020,MG,3124104,81,8.9
2020,CE,2313302,81,8.9
2020,RJ,3306305,81,8.9
2020,RJ,3303500,84,8.89
2020,SP,3518701,84,8.89
2020,SP,3552205,84,8.89
2020,SP,3502804,84,8.89
2020,RS,4303905,84,8.89
2020,PR,4119905,89,8.86
2020,SP,3519600,90,8.85
2020,MG,3146107,90,8.85
2020,PA,1500602,90,8.85
2020,RO,1100114,93,8.84
2020,PR,4104303,93,8.84
2020,SC,4202008,93,8.84
2020,BA,2918001,96,8.82
2020,SP,3511102,97,8.8
2020,RJ,3302403,98,8.77
2020,SP,3549706,98,8.77
2020,SP,3524402,100,8.76
2020,SP,3547809,100,8.76
2020,SP,3505906,100,8.76
2020,MG,3170107,103,8.75
2020,BA,2927408,104,8.74
2020,PB,2507507,105,8.73
2020,SP,3515707,106,8.72
2020,RS,4305108,107,8.71
2020,SP,3539806,108,8.7
2020,RS,4303509,109,8.69
2020,RS,4312401,110,8.68
2020,RS,4307005,111,8.67
2020,AC,1200401,111,8.67
2020,BA,2900702,111,8.67
2020,SP,3522109,114,8.66
2020,MG,3132404,114,8.66
2020,SE,2803500,116,8.65
2020,SP,3525003,116,8.65
2020,RJ,3303906,118,8.63
2020,SP,3513504,118,8.63
2020,SP,3522604,120,8.62
2020,SP,3524006,120,8.62
2020,SC,4218707,122,8.54
2020,SC,4210100,123,8.52
2020,SP,3503307,124,8.51
2020,AM,1302603,124,8.51
2020,MG,3106705,126,8.5
2020,SP,3540705,127,8.49
2020,SP,3507001,127,8.49
2020,PR,4125506,129,8.47
2020,CE,2304400,130,8.46
2020,PA,1501402,131,8.45
2020,PA,1501808,132,8.44
2020,RS,4314902,132,8.44
2020,MG,3136702,132,8.44
2020,CE,2309607,135,8.43
2020,RS,4302105,136,8.4
2020,PE,2610707,137,8.37
2020,SP,3506003,138,8.36
2020,SP,3543402,139,8.34
2020,SC,4207007,139,8.34
2020,SP,3534401,139,8.34
2020,RJ,3305505,139,8.34
2020,MG,3107406,143,8.32
2020,SP,3538709,144,8.31
2020,SP,3546801,145,8.29
2020,SP,3505500,146,8.26
2020,SP,3541406,146,8.26
2020,PR,4122404,148,8.24
2020,RS,4318705,148,8.24
2020,BA,2904605,150,8.23
2020,BA,2918407,151,8.22
2020,MG,3115300,152,8.19
2020,SP,3526803,153,8.18
2020,SP,3506508,153,8.18
2020,RJ,3300100,155,8.17
2020,PR,4104907,155,8.17
2020,SC,4203808,155,8.17
2020,SP,3545209,158,8.16
2020,RJ,3301009,158,8.16
2020,MG,3111200,160,8.13
2020,SP,3530805,161,8.12
2020,SE,2807402,162,8.11
2020,SP,3550704,163,8.1
2020,SP,3528502,164,8.09
2020,SP,3504008,164,8.09
2020,RS,4319901,164,8.09
2020,BA,2914000,167,8.08
2020,SP,3522505,168,8.07
2020,PR,4101804,168,8.07
2020,PA,1503705,170,8.06
2020,SP,3529302,170,8.06
2020,MG,3145208,172,8.04
2020,SC,4208203,172,8.04
2020,PE,2607901,172,8.04
2020,RJ,3303609,175,8.02
2020,MA,2114007,176,8.01
2020,SC,4214805,177,8
2020,BA,2913606,178,7.99
2020,SP,3524303,179,7.98
2020,PR,4107652,180,7.97
2020,SP,3550308,181,7.94
2020,RS,4311403,181,7.94
2020,PE,2601904,183,7.93
2020,BA,2931350,184,7.92
2020,SP,3541000,185,7.9
2020,PR,4108403,186,7.89
2020,TO,1709500,186,7.89
2020,SC,4209102,186,7.89
2020,RS,4317509,186,7.89
2020,SP,3529005,190,7.88
2020,PA,1501709,190,7.88
2020,PA,1501782,192,7.87
2020,BA,2905206,193,7.86
2020,MG,3127701,193,7.86
2020,PE,2604106,195,7.85
2020,PA,1508126,195,7.85
2020,MG,3143302,197,7.84
2020,SP,3501608,197,7.84
2020,SP,3509205,197,7.84
2020,PA,1506500,200,7.81
2020,PE,2606002,200,7.81
2020,SP,3530706,200,7.81
2020,RJ,3304201,200,7.81
2020,PA,1507300,204,7.8
2020,CE,2301109,204,7.8
2020,SP,3549805,204,7.8
2020,MG,3118304,207,7.76
2020,SP,3510500,207,7.76
2020,SP,3518800,207,7.76
2020,SP,3557006,207,7.76
2020,SP,3529401,211,7.75
2020,SP,3557105,211,7.75
2020,SE,2802106,211,7.75
2020,SP,3527108,214,7.74
2020,RS,4304507,214,7.74
2020,SP,3543303,216,7.73
2020,MA,2111300,217,7.72
2020,SC,4207502,217,7.72
2020,RS,4303004,217,7.72
2020,SP,3530508,220,7.71
2020,CE,2300200,220,7.71
