ano,id_municipio,bioma,area_total,desmatado,vegetacao_natural,nao_vegetacao_natural,hidrografia,pib,impostos_liquidos,va,va_agropecuaria,va_industria,va_servicos,va_adespss,nota,ranking,valor_extracao_vegetal_total
2010,1502707,Cerrado,2264.11257,790.0,1465.1,0.2,8.8,299034.0,23163.0,275871.0,41559.0,51222.0,104592.0,78498.0,,,4898.0
2016,1502707,Cerrado,2264.11257,915.8,1339.3,0.2,8.8,543396.0,45429.0,497967.0,84241.0,49957.0,213311.0,150458.0,,,47.0
2015,1502707,Cerrado,2264.11257,846.6,1408.5,0.2,8.8,520879.0,43705.0,477174.0,81742.0,64857.0,189991.0,140585.0,,,6361.0
2003,1502707,Cerrado,2264.11257,639.0,1616.1,0.2,8.8,166507.0,9589.0,156919.0,42103.0,32088.0,46395.0,36333.0,,,17859.0
2013,1502707,Cerrado,2264.11257,827.5,1427.6,0.2,8.8,407473.0,30724.0,376749.0,72001.0,56219.0,135866.0,112663.0,,,5422.0
2021,1502707,Cerrado,2264.11257,1042.4,1212.7,0.2,8.8,662825.0,55640.0,607185.0,143289.0,30254.0,232473.0,201168.0,,,
2011,1502707,Cerrado,2264.11257,790.2,1464.9,0.2,8.8,360801.0,29609.0,331192.0,52793.0,54396.0,127624.0,96380.0,,,4838.0
2020,1502707,Cerrado,2264.11257,1007.7,1247.4,0.2,8.8,622867.0,51572.0,571295.0,108936.0,34348.0,227900.0,200110.0,,,
2019,1502707,Cerrado,2264.11257,941.0,1314.1,0.2,8.8,547713.0,42627.0,505086.0,77638.0,32204.0,209751.0,185493.0,,,
2008,1502707,Cerrado,2264.11257,767.4,1487.7,0.2,8.8,250050.0,15701.0,234349.0,32788.0,60495.0,79073.0,61993.0,,,6560.0
2004,1502707,Cerrado,2264.11257,670.8,1584.3,0.2,8.8,172628.0,8318.0,164310.0,47068.0,22864.0,55639.0,38739.0,,,12790.0
2017,1502707,Cerrado,2264.11257,916.2,1338.9,0.2,8.8,559420.0,44301.0,515119.0,82467.0,44835.0,212277.0,175540.0,,,120.0
2006,1502707,Cerrado,2264.11257,721.4,1533.7,0.2,8.8,208193.0,10669.0,197524.0,55035.0,31600.0,63528.0,47361.0,,,8391.0
2007,1502707,Cerrado,2264.11257,744.4,1510.7,0.2,8.8,237788.0,12790.0,224998.0,53270.0,41046.0,76905.0,53777.0,,,6770.0
2005,1502707,Cerrado,2264.11257,696.1,1559.0,0.2,8.8,193029.0,8845.0,184184.0,54901.0,23365.0,60316.0,45601.0,,,10590.0
2018,1502707,Cerrado,2264.11257,940.5,1314.6,0.2,8.8,552553.0,42417.0,510135.0,77360.0,44441.0,213300.0,175034.0,,,
2009,1502707,Cerrado,2264.11257,778.7,1476.4,0.2,8.8,257802.0,17480.0,240322.0,31399.0,44133.0,94260.0,70530.0,,,6150.0
2014,1502707,Cerrado,2264.11257,846.6,1408.5,0.2,8.8,463952.0,37612.0,426339.0,68380.0,66796.0,167903.0,123260.0,,,5743.0
2002,1502707,Cerrado,2264.11257,607.2,1647.9,0.2,8.8,120537.0,5998.0,114540.0,28183.0,15745.0,40805.0,29807.0,,,19681.0
2012,1502707,Cerrado,2264.11257,790.4,1464.7,0.2,8.8,426733.0,30494.0,396239.0,61052.0,79946.0,144128.0,111114.0,,,4891.0
2004,1506708,Cerrado,1022.16759,125.8,839.6,0.1,56.7,203854.0,12016.0,191837.0,59270.0,51704.0,45919.0,34944.0,,,20120.0
2019,1506708,Cerrado,1022.16759,209.2,756.2,0.1,56.7,1034821.0,118943.0,915878.0,210176.0,160126.0,298959.0,246618.0,,,
2011,1506708,Cerrado,1022.16759,155.8,809.6,0.1,56.7,376777.0,32422.0,344355.0,91603.0,56156.0,84886.0,111710.0,,,24634.0
2016,1506708,Cerrado,1022.16759,193.8,771.6,0.1,56.7,762198.0,74828.0,687370.0,192777.0,115872.0,172035.0,206687.0,,,597.0
2018,1506708,Cerrado,1022.16759,207.4,758.0,0.1,56.7,843465.0,90252.0,753213.0,190320.0,114421.0,215505.0,232967.0,,,1.0
2021,1506708,Cerrado,1022.16759,250.9,714.5,0.1,56.7,1381972.0,178248.0,1203723.0,379315.0,141653.0,390630.0,292125.0,5.97,412.0,
2006,1506708,Cerrado,1022.16759,136.0,829.4,0.1,56.7,229536.0,15325.0,214211.0,51349.0,58671.0,57945.0,46245.0,,,25096.0
2017,1506708,Cerrado,1022.16759,194.7,770.7,0.1,56.7,803619.0,74647.0,728973.0,197687.0,124732.0,179701.0,226853.0,,,78.0
2015,1506708,Cerrado,1022.16759,175.6,789.8,0.1,56.7,686482.0,70166.0,616315.0,174073.0,99171.0,161109.0,181962.0,,,28249.0
2002,1506708,Cerrado,1022.16759,102.2,863.2,0.1,56.7,123461.0,7966.0,115495.0,32440.0,32773.0,24421.0,25861.0,,,16951.0
2009,1506708,Cerrado,1022.16759,152.4,813.0,0.1,56.7,327091.0,31134.0,295957.0,54255.0,53559.0,101657.0,86485.0,,,25493.0
2007,1506708,Cerrado,1022.16759,142.5,822.9,0.1,56.7,261588.0,19298.0,242290.0,45472.0,65162.0,68106.0,63549.0,,,28463.0
2014,1506708,Cerrado,1022.16759,175.5,789.9,0.1,56.7,590433.0,56129.0,534305.0,144634.0,89511.0,134536.0,165623.0,,,28465.0
2020,1506708,Cerrado,1022.16759,236.0,729.4,0.1,56.7,1115572.0,139290.0,976283.0,247750.0,175640.0,283477.0,269415.0,6.37,345.0,
2003,1506708,Cerrado,1022.16759,114.0,851.4,0.1,56.7,168425.0,11990.0,156435.0,46768.0,44852.0,34851.0,29964.0,,,17225.0
2012,1506708,Cerrado,1022.16759,155.8,809.6,0.1,56.7,423595.0,35245.0,388350.0,102342.0,58994.0,99404.0,127610.0,,,25148.0
2008,1506708,Cerrado,1022.16759,149.0,816.4,0.1,56.7,293058.0,22495.0,270563.0,52120.0,73633.0,70210.0,74601.0,,,27292.0
2010,1506708,Cerrado,1022.16759,155.8,809.6,0.1,56.7,329767.0,26229.0,303539.0,79949.0,64894.0,72371.0,86325.0,,,26829.0
2005,1506708,Cerrado,1022.16759,130.9,834.5,0.1,56.7,214361.0,14362.0,199999.0,54212.0,52348.0,51612.0,41826.0,,,22162.0
2013,1506708,Cerrado,1022.16759,170.4,795.0,0.1,56.7,515231.0,46845.0,468386.0,134852.0,76257.0,111837.0,145440.0,,,27005.0
2007,1503044,Cerrado,1163.2399,326.8,836.3,0.1,0.0,95827.0,4242.0,91585.0,39971.0,10302.0,18033.0,23279.0,,,4554.0
2009,1503044,Cerrado,1163.2399,347.6,815.5,0.1,0.0,165812.0,8574.0,157238.0,58735.0,42569.0,27768.0,28166.0,,,4714.0
2015,1503044,Cerrado,1163.2399,458.1,705.0,0.1,0.0,331441.0,13968.0,317474.0,149358.0,44764.0,60940.0,62412.0,,,4897.0
2013,1503044,Cerrado,1163.2399,397.0,766.1,0.1,0.0,357379.0,12604.0,344775.0,106205.0,135122.0,51895.0,51553.0,,,4532.0
2008,1503044,Cerrado,1163.2399,334.0,829.1,0.1,0.0,134315.0,6306.0,128009.0,45495.0,36250.0,22315.0,23949.0,,,4378.0
2003,1503044,Cerrado,1163.2399,267.2,895.9,0.1,0.0,71904.0,2265.0,69639.0,37678.0,7918.0,10306.0,13738.0,,,5230.0
2012,1503044,Cerrado,1163.2399,361.6,801.5,0.1,0.0,314642.0,12673.0,301969.0,91795.0,111899.0,51169.0,47106.0,,,3961.0
2017,1503044,Cerrado,1163.2399,496.4,666.7,0.1,0.0,249651.0,9802.0,239849.0,103666.0,11778.0,51116.0,73290.0,,,
2020,1503044,Cerrado,1163.2399,581.9,581.2,0.1,0.0,414580.0,18162.0,396418.0,200038.0,27688.0,71790.0,96902.0,,,
2004,1503044,Cerrado,1163.2399,278.6,884.5,0.1,0.0,80420.0,2621.0,77799.0,37241.0,8898.0,12926.0,18733.0,,,4884.0
2006,1503044,Cerrado,1163.2399,319.6,843.5,0.1,0.0,75089.0,2134.0,72955.0,36583.0,5290.0,12604.0,18478.0,,,4698.0
2011,1503044,Cerrado,1163.2399,361.4,801.7,0.1,0.0,370526.0,10882.0,359644.0,81345.0,188778.0,48031.0,41491.0,,,3738.0
2014,1503044,Cerrado,1163.2399,457.7,705.4,0.1,0.0,313863.0,12565.0,301298.0,107866.0,82826.0,53187.0,57419.0,,,4772.0
2018,1503044,Cerrado,1163.2399,531.1,632.0,0.1,0.0,340155.0,11055.0,329100.0,170351.0,15965.0,61464.0,81320.0,,,
2005,1503044,Cerrado,1163.2399,299.1,864.0,0.1,0.0,83739.0,2211.0,81528.0,45973.0,6247.0,13278.0,16031.0,,,4697.0
2016,1503044,Cerrado,1163.2399,496.0,667.1,0.1,0.0,315412.0,11306.0,304106.0,150483.0,25459.0,57941.0,70224.0,,,
2019,1503044,Cerrado,1163.2399,531.7,631.4,0.1,0.0,272593.0,12368.0,260225.0,102002.0,13017.0,58541.0,86665.0,,,
2010,1503044,Cerrado,1163.2399,361.2,801.9,0.1,0.0,271036.0,9319.0,261717.0,72780.0,119332.0,35806.0,33798.0,,,4058.0
2002,1503044,Cerrado,1163.2399,255.8,907.3,0.1,0.0,46301.0,1635.0,44666.0,17999.0,5299.0,7805.0,13563.0,,,4914.0
2021,1503044,Cerrado,1163.2399,617.7,545.4,0.1,0.0,602623.0,30930.0,571693.0,260687.0,116728.0,95088.0,99190.0,,,
2004,1505551,Cerrado,481.01125,151.9,329.1,0.0,0.0,27703.0,550.0,27153.0,15116.0,1098.0,3092.0,7847.0,,,5629.0
2012,1505551,Cerrado,481.01125,183.7,297.3,0.0,0.0,47365.0,1185.0,46179.0,22404.0,-238.0,6480.0,17533.0,,,4909.0
2011,1505551,Cerrado,481.01125,183.7,297.3,0.0,0.0,50700.0,1004.0,49696.0,23915.0,2059.0,6555.0,17167.0,,,4868.0
2020,1505551,Cerrado,481.01125,225.9,255.1,0.0,0.0,97551.0,5692.0,91859.0,32057.0,3194.0,20532.0,36075.0,,,
2003,1505551,Cerrado,481.01125,146.3,334.7,0.0,0.0,23395.0,534.0,22861.0,11119.0,890.0,2852.0,8001.0,,,6410.0
2005,1505551,Cerrado,481.01125,159.9,321.1,0.0,0.0,28630.0,559.0,28071.0,14184.0,703.0,3492.0,9692.0,,,5584.0
2019,1505551,Cerrado,481.01125,218.9,262.1,0.0,0.0,88909.0,5620.0,83289.0,26936.0,3252.0,22603.0,30497.0,,,3.0
2006,1505551,Cerrado,481.01125,167.9,313.1,0.0,0.0,28133.0,708.0,27426.0,13419.0,651.0,3406.0,9950.0,,,5828.0
2010,1505551,Cerrado,481.01125,183.7,297.3,0.0,0.0,42532.0,846.0,41687.0,20759.0,1484.0,5385.0,14058.0,,,4949.0
2008,1505551,Cerrado,481.01125,176.3,304.7,0.0,0.0,32613.0,698.0,31914.0,13597.0,1293.0,4881.0,12144.0,,,5399.0
2016,1505551,Cerrado,481.01125,207.3,273.7,0.0,0.0,86909.0,2278.0,84631.0,36650.0,4104.0,13421.0,30456.0,,,800.0
2021,1505551,Cerrado,481.01125,230.2,250.8,0.0,0.0,114870.0,3290.0,111580.0,56578.0,3676.0,14937.0,36389.0,,,
2009,1505551,Cerrado,481.01125,180.0,301.0,0.0,0.0,38500.0,827.0,37673.0,16823.0,1246.0,5739.0,13864.0,,,4978.0
2002,1505551,Cerrado,481.01125,140.7,340.3,0.0,0.0,18828.0,368.0,18460.0,8556.0,527.0,2412.0,6966.0,,,6789.0
2017,1505551,Cerrado,481.01125,207.3,273.7,0.0,0.0,74387.0,2263.0,72124.0,26548.0,3025.0,13338.0,29213.0,,,2.0
2015,1505551,Cerrado,481.01125,198.4,282.6,0.0,0.0,73398.0,2252.0,71146.0,28623.0,5427.0,10881.0,26215.0,,,5299.0
2018,1505551,Cerrado,481.01125,218.8,262.2,0.0,0.0,87951.0,4296.0,83655.0,25735.0,3961.0,19755.0,34205.0,,,3.0
2014,1505551,Cerrado,481.01125,198.4,282.6,0.0,0.0,58159.0,1490.0,56670.0,24227.0,2524.0,8333.0,21586.0,,,4938.0
2007,1505551,Cerrado,481.01125,172.1,308.9,0.0,0.0,29514.0,682.0,28832.0,12297.0,1018.0,4453.0,11064.0,,,5662.0
2013,1505551,Cerrado,481.01125,192.5,288.5,0.0,0.0,53562.0,1252.0,52310.0,23194.0,1517.0,6988.0,20610.0,,,5040.0
2004,1506138,Cerrado,854.16958,316.6,537.6,0.0,0.0,424133.0,36629.0,387504.0,36331.0,109147.0,170401.0,71625.0,,,34056.0
2012,1506138,Cerrado,854.16958,399.4,454.8,0.0,0.0,965208.0,115881.0,849327.0,65959.0,65731.0,538713.0,178924.0,,,19122.0
2014,1506138,Cerrado,854.16958,432.7,421.5,0.0,0.0,1317862.0,162670.0,1155193.0,83622.0,181203.0,675257.0,215111.0,,,20543.0
2009,1506138,Cerrado,854.16958,390.2,464.0,0.0,0.0,708068.0,74858.0,633210.0,37592.0,103354.0,378569.0,113695.0,,,21403.0
2018,1506138,Cerrado,854.16958,461.5,392.7,0.0,0.0,1802377.0,280063.0,1522315.0,71574.0,216037.0,921688.0,313016.0,,,5.0
2020,1506138,Cerrado,854.16958,488.5,365.7,0.0,0.0,2030687.0,290371.0,1740316.0,153365.0,279246.0,934379.0,373325.0,5.05,517.0,
2008,1506138,Cerrado,854.16958,381.6,472.6,0.0,0.0,659062.0,69981.0,589081.0,35626.0,112936.0,344201.0,96318.0,,,22965.0
2019,1506138,Cerrado,854.16958,462.1,392.1,0.0,0.0,1866113.0,263334.0,1602780.0,75322.0,220172.0,973791.0,333495.0,,,5.0
2017,1506138,Cerrado,854.16958,450.4,403.8,0.0,0.0,1700741.0,219524.0,1481217.0,109398.0,218395.0,857939.0,295485.0,,,5.0
2006,1506138,Cerrado,854.16958,353.6,500.6,0.0,0.0,527782.0,52034.0,475748.0,43175.0,125592.0,228283.0,78697.0,,,26319.0
2007,1506138,Cerrado,854.16958,367.6,486.6,0.0,0.0,633238.0,65842.0,567395.0,34538.0,127961.0,321575.0,83322.0,,,24020.0
2010,1506138,Cerrado,854.16958,398.8,455.4,0.0,0.0,752443.0,83097.0,669346.0,44041.0,104242.0,386979.0,134084.0,,,19896.0
2016,1506138,Cerrado,854.16958,450.3,403.9,0.0,0.0,1645578.0,211376.0,1434203.0,121872.0,199436.0,834737.0,278158.0,,,
2021,1506138,Cerrado,854.16958,507.8,346.4,0.0,0.0,2552479.0,418240.0,2134239.0,200284.0,302593.0,1238361.0,393000.0,6.4,354.0,
2005,1506138,Cerrado,854.16958,335.1,519.1,0.0,0.0,454204.0,44573.0,409631.0,44025.0,99868.0,192551.0,73187.0,,,26790.0
2003,1506138,Cerrado,854.16958,295.5,558.7,0.0,0.0,352020.0,32883.0,319137.0,30692.0,102111.0,122745.0,63589.0,,,35184.0
2013,1506138,Cerrado,854.16958,417.7,436.5,0.0,0.0,1096384.0,133702.0,962682.0,78153.0,136527.0,543765.0,204237.0,,,20311.0
2002,1506138,Cerrado,854.16958,274.4,579.8,0.0,0.0,338506.0,33600.0,304905.0,25427.0,110645.0,112603.0,56230.0,,,48622.0
2011,1506138,Cerrado,854.16958,399.1,455.1,0.0,0.0,855748.0,92336.0,763413.0,63759.0,101718.0,436572.0,161364.0,,,19099.0
2015,1506138,Cerrado,854.16958,432.8,421.4,0.0,0.0,1467916.0,186856.0,1281060.0,118973.0,203907.0,715973.0,242207.0,,,21324.0
2006,1506161,Cerrado,101.77974,24.1,77.7,0.0,0.0,147111.0,20165.0,126946.0,23147.0,27977.0,62195.0,13626.0,,,134.0
2008,1506161,Cerrado,101.77974,25.7,76.1,0.0,0.0,167306.0,17791.0,149515.0,23975.0,52470.0,47790.0,25281.0,,,77.0
2018,1506161,Cerrado,101.77974,38.3,63.5,0.0,0.0,479389.0,61875.0,417514.0,134635.0,85389.0,120363.0,77127.0,,,17.0
2015,1506161,Cerrado,101.77974,31.0,70.8,0.0,0.0,360821.0,50724.0,310097.0,75820.0,78232.0,97089.0,58955.0,,,17.0
2014,1506161,Cerrado,101.77974,31.0,70.8,0.0,0.0,304399.0,38010.0,266390.0,62968.0,68001.0,82584.0,52837.0,,,14.0
2002,1506161,Cerrado,101.77974,18.1,83.7,0.0,0.0,56190.0,2600.0,53590.0,21080.0,5147.0,14497.0,12866.0,,,219.0
2012,1506161,Cerrado,101.77974,26.9,74.9,0.0,0.0,228291.0,24183.0,204109.0,51475.0,41181.0,66559.0,44894.0,,,15.0
2003,1506161,Cerrado,101.77974,19.6,82.2,0.0,0.0,66478.0,3792.0,62686.0,24407.0,8193.0,16918.0,13167.0,,,176.0
2017,1506161,Cerrado,101.77974,34.4,67.4,0.0,0.0,476846.0,55992.0,420854.0,142154.0,95705.0,111170.0,71825.0,,,17.0
2016,1506161,Cerrado,101.77974,34.4,67.4,0.0,0.0,407471.0,55332.0,352139.0,87560.0,89767.0,110210.0,64603.0,,,19.0
2004,1506161,Cerrado,101.77974,21.1,80.7,0.0,0.0,108289.0,9432.0,98857.0,27904.0,18920.0,37513.0,14520.0,,,174.0
2010,1506161,Cerrado,101.77974,26.9,74.9,0.0,0.0,201449.0,20480.0,180969.0,38266.0,55990.0,52709.0,34004.0,,,15.0
2019,1506161,Cerrado,101.77974,38.3,63.5,0.0,0.0,494992.0,64747.0,430245.0,138343.0,85959.0,128274.0,77669.0,,,18.0
2005,1506161,Cerrado,101.77974,22.6,79.2,0.0,0.0,119325.0,14587.0,104738.0,28171.0,11624.0,49582.0,15362.0,,,169.0
2007,1506161,Cerrado,101.77974,24.9,76.9,0.0,0.0,141826.0,13831.0,127995.0,21215.0,39663.0,44788.0,22328.0,,,79.0
2011,1506161,Cerrado,101.77974,26.9,74.9,0.0,0.0,211154.0,23252.0,187902.0,46958.0,44739.0,56660.0,39545.0,,,14.0
2020,1506161,Cerrado,101.77974,42.5,59.3,0.0,0.0,572062.0,75718.0,496344.0,167216.0,111695.0,130548.0,86885.0,,,15.0
2009,1506161,Cerrado,101.77974,26.3,75.5,0.0,0.0,174185.0,20746.0,153440.0,24626.0,46649.0,51206.0,30959.0,,,73.0
2021,1506161,Cerrado,101.77974,46.9,54.9,0.0,0.0,601872.0,90173.0,511699.0,163335.0,122414.0,135016.0,90934.0,,,
2013,1506161,Cerrado,101.77974,29.0,72.8,0.0,0.0,266214.0,31681.0,234533.0,59821.0,61034.0,66258.0,47419.0,,,14.0
2002,1506583,Cerrado,2821.61042,343.5,2439.4,0.1,38.6,47841.0,701.0,47140.0,31368.0,1189.0,4298.0,10284.0,,,967.0
2006,1506583,Cerrado,2821.61042,483.5,2299.4,0.1,38.6,83130.0,1173.0,81957.0,55993.0,1964.0,8076.0,15925.0,,,655.0
2012,1506583,Cerrado,2821.61042,555.7,2227.2,0.1,38.6,159444.0,5357.0,154087.0,82917.0,2563.0,21266.0,47341.0,,,978.0
2016,1506583,Cerrado,2821.61042,830.1,1952.8,0.1,38.6,297680.0,9850.0,287829.0,164069.0,9645.0,44199.0,69917.0,,,4991.0
2018,1506583,Cerrado,2821.61042,930.4,1852.5,0.1,38.6,379801.0,12965.0,366837.0,179261.0,40039.0,66502.0,81035.0,,,
2014,1506583,Cerrado,2821.61042,691.7,2091.2,0.1,38.6,201980.0,5907.0,196073.0,104207.0,5644.0,28673.0,57549.0,,,1495.0
2021,1506583,Cerrado,2821.61042,1141.3,1641.6,0.1,38.6,1072244.0,39694.0,1032550.0,337616.0,442886.0,147369.0,104680.0,,,
2005,1506583,Cerrado,2821.61042,447.1,2335.8,0.1,38.6,82131.0,1077.0,81054.0,56620.0,1878.0,7867.0,14689.0,,,746.0
2013,1506583,Cerrado,2821.61042,609.0,2173.9,0.1,38.6,195215.0,5157.0,190058.0,107709.0,6117.0,23963.0,52270.0,,,1383.0
2007,1506583,Cerrado,2821.61042,504.9,2278.0,0.1,38.6,88225.0,1948.0,86277.0,52793.0,2275.0,10932.0,20277.0,,,579.0
2008,1506583,Cerrado,2821.61042,526.3,2256.6,0.1,38.6,93468.0,2312.0,91156.0,52009.0,2155.0,11740.0,25252.0,,,648.0
2019,1506583,Cerrado,2821.61042,931.2,1851.7,0.1,38.6,498864.0,18422.0,480443.0,190569.0,122206.0,82626.0,85042.0,,,
2015,1506583,Cerrado,2821.61042,692.0,2090.9,0.1,38.6,250099.0,8428.0,241671.0,133118.0,7855.0,35832.0,64866.0,,,1520.0
2004,1506583,Cerrado,2821.61042,410.7,2372.2,0.1,38.6,67943.0,986.0,66957.0,48138.0,1774.0,6057.0,10988.0,,,861.0
2010,1506583,Cerrado,2821.61042,555.5,2227.4,0.1,38.6,125316.0,2784.0,122532.0,71186.0,3380.0,14081.0,33886.0,,,577.0
2003,1506583,Cerrado,2821.61042,377.1,2405.8,0.1,38.6,58178.0,1001.0,57178.0,39247.0,1212.0,5273.0,11445.0,,,990.0
2011,1506583,Cerrado,2821.61042,555.6,2227.3,0.1,38.6,145031.0,3074.0,141957.0,81117.0,3682.0,16021.0,41137.0,,,628.0
2020,1506583,Cerrado,2821.61042,1062.5,1720.4,0.1,38.6,736451.0,24230.0,712221.0,226841.0,289412.0,100209.0,95759.0,,,
2009,1506583,Cerrado,2821.61042,540.9,2242.0,0.1,38.6,97867.0,1931.0,95936.0,50073.0,2406.0,12740.0,30717.0,,,589.0
2017,1506583,Cerrado,2821.61042,830.4,1952.5,0.1,38.6,375755.0,11713.0,364042.0,169853.0,57771.0,59919.0,76499.0,,,
2021,1503077,Amazônia,1615.51973,1443.5,172.0,0.0,0.0,276033.0,11449.0,264584.0,75425.0,9991.0,49008.0,130160.0,,,78.0
2011,1503077,Amazônia,1615.51973,1431.7,183.8,0.0,0.0,117108.0,2535.0,114574.0,33119.0,4787.0,18257.0,58410.0,,,127.0
2018,1503077,Amazônia,1615.51973,1440.8,174.7,0.0,0.0,218668.0,6476.0,212193.0,46582.0,8714.0,45660.0,111237.0,,,52.0
